Day	MaxTemp	AvgTemp	MinTemp	MaxDew	AvgDew	MinDew	MaxHumidity	AvgHumidity	MinHumidity	MaxWindSpeed	AvgWindSpeed	MinWindSpeed	MaxPressure	AvgPressure	MinPressure	Rain
1	90	82.1	72	75	72.7	70	93	74.2	54	10	4.6	0	30	29.9	29.9	0
2	94	82	74	79	76.5	72	94	84.5	58	9	4.6	0	29.9	29.9	29.8	0
3	92	79.8	75	79	75.3	72	94	86.9	55	18	7	0	29.9	29.8	29.8	0.08
4	85	77.6	73	76	73.8	69	100	88.3	69	12	5.8	0	30	29.9	29.8	0.59
5	88	76.9	69	75	70.4	68	100	82	51	8	2.4	0	30	30	29.9	1.54
6	86	77.2	71	78	73.4	64	96	88.4	67	12	5.2	0	30	29.9	29.9	0
7	71	67.4	65	68	63.9	62	94	88.3	78	14	8.4	0	30.1	30	29.9	1
8	71	69	66	69	65.9	63	97	89.8	81	14	8.9	5	30.1	30.1	30.1	0.27
9	85	78.6	71	78	75.1	70	100	89.2	77	21	12.5	6	30.1	29.9	29.8	0.1
10	87	78.8	75	76	71.9	61	100	81.3	43	13	6	0	29.9	29.9	29.8	0
11	80	74.5	67	69	63.3	60	87	68.6	56	9	4.6	0	30	30	29.9	0
12	80	71.6	61	64	60.9	59	97	70.4	52	16	5.8	0	30	29.9	29.9	0
13	82	73	65	64	60.1	57	84	65	45	16	7.6	0	30	30	29.9	0
14	84	75.3	64	69	63.6	60	90	68.4	44	10	4.4	0	30	30	30	0
15	87	75.5	66	70	65.9	62	90	73.5	46	13	4.2	0	30.1	30	30	0
16	80	74.1	67	70	67.8	64	93	80.9	69	10	4.9	0	30.1	30	30	0
17	77	73.1	71	69	67.5	66	90	82.8	71	14	7.4	0	30.1	30	30	0
18	75	72.3	69	72	70.1	66	96	92.5	87	17	9.4	0	30	29.9	29.8	0.18
19	82	74.6	70	74	71.1	64	97	88.9	72	14	5.3	0	29.8	29.7	29.6	1.13
20	72	67.4	61	63	54.4	48	81	64.1	45	20	9.9	0	30	29.8	29.7	0.38
21	75	66.4	56	55	52.5	50	84	61.9	43	13	6.3	0	30.1	30	30	0
22	77	68.9	60	59	55.4	53	80	63.4	46	13	4.6	0	30.2	30.1	30.1	0
23	78	71.4	59	64	58.8	55	93	66	45	10	5.1	0	30.3	30.3	30.2	0
24	81	73.1	61	66	62.4	59	97	70.8	50	8	3.8	0	30.3	30.2	30.2	0
25	84	74.3	64	70	65.5	63	96	75.2	49	8	3.8	0	30.2	30.2	30.2	0
26	82	72.8	67	71	66.7	63	97	81.8	60	21	5.8	0	30.2	30.1	30.1	0.43
27	82	72.1	63	71	65.9	62	97	82	62	12	4.2	0	30.1	30.1	30	0.31
28	91	81.3	75	76	72.1	68	85	74	55	14	6.5	0	30	29.9	29.9	0
29	80	73.4	70	70	62.6	57	75	68.8	61	12	7.8	5	30.3	30.2	30	0
30	74	69	63	63	59	54	87	71.3	50	14	8.2	3	30.3	30.3	30.2	0.02
31	82	73.2	65	71	66.4	62	90	80	58	10	6.7	3	30.2	30.1	30	0
